# x y z nx ny nz
0.142778 0.000749 0.068588 0.812669 -0.492565 0.311367
0.012562 0.025636 0.029642 0.161634 0.701255 0.694345
0.080733 -0.037369 0.035946 0.187099 -0.970069 -0.154793
0.044817 -0.017756 -0.002706 -0.630541 -0.404728 -0.662279
0.104229 -0.023018 -0.005771 0.751019 -0.310121 -0.582920
0.042131 -0.010879 -0.003234 -0.824153 -0.187191 -0.534538
0.014032 -0.003267 0.011343 -0.447227 -0.811386 -0.376352
0.136635 0.016304 0.027877 0.650179 0.118724 -0.750448
0.117087 0.037476 0.075223 -0.350704 0.855568 -0.380802
0.055897 -0.008110 0.084140 -0.039126 -0.605734 0.794705
0.113297 0.030783 0.095674 -0.730013 0.521696 0.441492
0.102636 -0.001625 0.087283 -0.145853 -0.248585 0.957566
0.086056 -0.008911 0.143029 0.327797 0.349972 0.877536
0.086677 0.042303 0.025455 0.843554 0.490166 -0.219440
0.116836 0.001468 0.118347 0.695366 -0.583828 0.419058
0.060308 -0.023220 0.000375 -0.137443 -0.990492 -0.005963
0.087294 0.040823 0.022223 0.750343 0.650023 -0.120231
0.098526 0.025847 -0.005849 0.287019 -0.548164 -0.785580
0.086108 -0.035444 0.035111 0.577763 -0.786617 -0.217770
0.051482 0.044642 -0.004713 -0.100472 0.487845 -0.867129
0.021830 0.034131 0.053964 -0.850050 0.510314 0.130368
0.151049 0.006596 0.081623 0.910133 -0.412279 -0.041038
0.067014 0.050151 -0.003728 -0.229668 0.849153 -0.475596
0.141783 0.009464 0.032979 0.813853 -0.027179 -0.580435
0.005935 0.028800 0.019182 -0.736401 0.676401 -0.013966
0.035280 0.019710 -0.004764 -0.126770 0.122984 -0.984279
0.066184 -0.032324 0.018452 -0.119065 -0.930798 -0.345600
0.020870 0.033418 0.014002 0.199687 0.973287 0.113303
0.077658 -0.018070 -0.005550 0.054364 0.523062 -0.850559
0.135537 -0.025024 0.118142 0.732480 -0.325818 -0.597759
0.125724 0.041486 -0.003726 0.796994 0.603940 0.007505
0.097976 0.029495 0.081691 0.119404 0.722503 0.680979
0.114809 0.047762 -0.003865 -0.070903 0.842182 -0.534511
0.038755 0.042218 0.001244 -0.703913 0.677183 -0.214311
0.105127 0.007103 0.122954 -0.194721 0.921438 0.336208
0.011026 0.016460 0.004192 -0.618734 0.079210 -0.781597
0.137344 -0.023613 0.126626 0.725815 0.309223 0.614470
0.147976 0.007299 0.098529 0.857693 -0.261396 0.442758
0.035965 -0.020629 0.052304 -0.450429 -0.810360 0.374741
