x y z
0.069616 -0.021974 0.063445
0.113746 -0.009618 0.026368
0.005052 0.001965 0.022821
0.095802 0.015356 0.087174
0.116739 0.033072 0.023949
0.100646 0.042456 0.021342
0.056600 -0.030157 0.019171
0.138700 -0.029955 0.123703
0.137714 -0.004212 0.113296
0.095488 -0.001532 0.135405
0.145157 0.006683 0.108058
0.087705 0.051019 0.043366
0.140229 0.037889 0.069307
0.050819 0.056142 0.048724
0.128418 -0.053377 0.119545
0.136127 -0.020622 0.126136
0.146829 0.036750 0.106257
0.125012 0.040852 0.099373
0.121153 0.031098 0.024063
0.124632 0.013400 0.116061
0.126931 -0.006718 0.117297
0.129035 -0.007253 0.083468
0.134113 -0.052461 0.140471
0.070595 -0.034828 0.026875
0.021830 0.034131 0.053964
0.112864 0.005623 0.122745
0.062684 -0.022377 0.060229
0.054201 0.048274 0.060681
0.126720 -0.057246 0.126323
0.114525 -0.005156 0.017770
0.135051 -0.023337 0.128145
0.075720 0.048088 0.059122
0.041263 0.049708 0.018338
0.124640 -0.059519 0.135949
0.068256 0.045473 0.062491
0.054518 0.034758 0.084408
0.083896 -0.036760 0.035978
0.122939 0.028974 0.115004
0.136203 0.004014 0.114938
0.054554 -0.030537 0.023358
0.148774 0.014046 0.070966
0.134576 -0.013868 0.123773
0.139812 -0.037609 0.129482
0.134798 0.050509 0.098067
0.092711 -0.024655 0.031539
0.107116 0.009084 0.119586
0.135228 0.028729 0.030131
0.081009 -0.014061 0.145976
0.072111 -0.022818 0.060032
0.133480 -0.001323 0.117930
0.097809 -0.020760 0.044416
0.090279 0.044607 0.060973
0.151596 0.031977 0.076189
0.026808 0.029320 0.071448
0.136236 -0.019567 0.110125
0.117439 -0.004160 0.092573
0.153786 0.022331 0.090549
0.137316 -0.049708 0.138418
0.135353 0.019994 0.027004
0.107254 0.003503 0.090209
0.139450 -0.043532 0.133435
0.100637 -0.019649 0.043983
0.000436 0.018090 0.026010
0.074385 0.058408 0.038428
0.141536 0.007017 0.113261
0.107772 0.044256 0.036937
0.138709 -0.047122 0.136195
0.132411 0.048935 0.072344
0.118466 0.043351 0.062826
0.015235 0.005337 0.045862
0.030922 -0.019149 0.030734
0.055340 0.056784 0.050038
0.041868 0.050734 0.048883
0.152293 0.018881 0.103123
0.123035 0.018431 0.019471
0.112499 0.046724 0.047627
0.126737 -0.056263 0.122617
0.153741 0.019593 0.076681
0.149870 0.032749 0.104282
0.148638 0.007394 0.051663
0.094431 0.045120 0.048704
0.045707 -0.020269 0.062052
0.026466 0.026448 0.072959
0.050089 0.053744 0.017235
0.111117 0.013661 0.111449
0.076685 -0.008284 0.122977
0.129941 -0.020800 0.127019
0.067814 -0.013895 0.077583
0.126341 -0.058710 0.134816
0.092110 -0.004463 0.127317
0.067285 0.045383 0.065324
0.117705 -0.015692 0.070113
0.077700 0.051642 0.015608
0.017218 -0.001101 0.034194
0.135463 0.048676 0.072016
0.042736 0.024998 0.086632
0.147676 0.010215 0.108515
0.114693 -0.001223 0.114484
0.121115 0.015208 0.018530
0.151231 0.033465 0.092293
0.137335 -0.018053 0.116243
0.027869 0.043563 0.048209
0.124330 0.003015 0.114087
0.075488 0.057772 0.050493
0.071702 0.054246 0.016458
0.113060 0.028208 0.017808
0.035281 0.046048 0.021424
0.135310 -0.027138 0.111805
0.010909 0.011045 0.033104
0.076341 -0.037005 0.032555
0.022497 -0.010815 0.039311
0.027867 -0.016188 0.051234
0.037897 -0.023767 0.016409
0.125838 -0.032692 0.127827
0.104261 0.007128 0.118006
0.145849 0.027039 0.045134
0.086880 -0.016951 0.136869
0.084809 0.043832 0.020716
0.134483 -0.010047 0.121669
0.112021 0.033090 0.090737
0.012052 0.027034 0.028349
0.120379 -0.015164 0.033548
0.131901 0.041417 0.041540
0.068576 -0.017061 0.073676
0.088017 -0.007469 0.128498
0.095989 -0.007930 0.136540
0.147976 0.007299 0.098529
0.150450 0.040142 0.073715
0.053041 -0.031125 0.046825
0.118701 0.033016 0.112260
0.113672 0.040251 0.068850
0.108385 -0.018837 0.064995
0.031885 -0.018737 0.022631
0.072051 0.055925 0.020723
0.108021 0.045092 0.041502
0.056995 0.009072 0.091479
0.151308 0.017143 0.097280
0.091007 -0.015350 0.129922
0.130743 -0.047354 0.114807
0.121109 0.043701 0.084095
0.001340 0.008522 0.019270
0.075665 -0.023922 0.145659
0.052397 0.054170 0.015984
0.151224 0.027067 0.101510
0.136167 -0.050849 0.139647
0.094255 -0.019955 0.031505
0.127814 0.036840 0.030810
0.058696 -0.024193 0.058514
0.081158 -0.021063 0.138246
0.024355 0.038628 0.029344
0.044197 0.038571 0.075099
0.153301 0.027117 0.090137
0.031782 0.045530 0.046694
0.081509 -0.036746 0.044959
0.151629 0.022904 0.100728
0.080093 -0.020756 0.133298
0.119861 0.024654 0.115200
0.005883 0.028048 0.017451
0.085863 0.035722 0.075958
0.137982 0.052308 0.095246
0.095227 0.032280 0.078631
0.131078 -0.046337 0.114823
0.131841 -0.011346 0.035798
0.132811 -0.003171 0.118756
0.121048 0.035925 0.027093
0.085399 0.051427 0.036611
0.046855 -0.027726 0.049968
0.136108 -0.020977 0.111301
0.063965 -0.018294 0.072328
0.088563 0.023983 0.083089
0.149808 0.039645 0.098019
0.115514 0.030460 0.022069
0.042536 0.053691 0.040600
0.039767 0.035734 0.077981
0.108699 -0.001304 0.127504
0.091738 -0.002865 0.134301
0.072456 -0.019797 0.134531
0.006379 0.000474 0.016982
0.142560 0.025252 0.037347
0.146920 0.048056 0.075852
0.106678 0.041185 0.026350
0.139351 -0.041134 0.133204
0.134091 -0.014116 0.106102
0.136937 -0.018515 0.116068
0.035965 -0.020629 0.052304
0.128490 0.052878 0.078021
0.019137 0.031522 0.036534
0.137902 -0.011836 0.116556
0.107369 -0.018707 0.041177
0.076040 0.056062 0.029435
0.045758 -0.027614 0.022395
0.121959 0.044377 0.080663
0.119802 -0.018922 0.045439
0.111314 0.046712 0.045555
0.147800 0.049289 0.082058
0.142344 0.001580 0.104325
0.106494 0.044103 0.058539
0.135911 -0.036942 0.133416
0.052274 -0.028441 0.053472
0.124971 0.000063 0.113052
0.149711 0.046941 0.077766
0.083406 -0.035174 0.048225
0.048822 0.016483 0.090503
0.073255 -0.026233 0.143429
0.145097 0.005204 0.040555
0.133919 -0.047194 0.138950
0.139124 0.040275 0.069276
0.042355 0.049760 0.016465
0.099791 -0.007134 0.114792
0.079451 -0.035976 0.048566
0.133804 0.039339 0.110575
0.135066 -0.018525 0.108730
0.073310 0.045118 0.064046
0.133902 -0.034634 0.112154
0.133894 -0.053025 0.138567
0.000184 0.014116 0.025818
0.145899 0.001692 0.094281
0.001291 0.009505 0.026978
0.131857 -0.006620 0.100929
0.148460 0.004774 0.075986
0.072581 -0.022335 0.062652
0.056907 -0.027662 0.056111
0.078995 -0.009689 0.079802
0.090844 -0.005429 0.139579
0.120638 0.045519 0.043391
0.100159 -0.004111 0.111504
0.139071 0.053090 0.081852
0.109571 0.011097 0.107249
0.132416 -0.041717 0.112741
0.077903 -0.024614 0.057694
0.064462 -0.019271 0.070975
0.084065 -0.010838 0.144393
0.150240 0.013186 0.108160
0.124033 0.047076 0.084720
0.134737 0.052346 0.074796
0.125909 0.041467 0.105916
0.120806 0.040075 0.068733
0.139038 -0.031350 0.128054
0.000931 0.019187 0.027338
0.123967 -0.025452 0.123192
0.102741 0.007331 0.111844
0.124901 -0.006946 0.103239
0.077814 0.058892 0.042235
0.140380 0.052262 0.095073
0.010081 0.014816 0.033475
0.125834 0.046855 0.075837
0.052554 -0.030198 0.050574
0.025872 -0.016104 0.042838
0.029053 -0.018142 0.045303
0.070955 -0.017154 0.127830
0.111565 -0.003232 0.118089
0.150095 0.042300 0.093500
0.101467 -0.001048 0.132368
0.144449 0.027699 0.066703
0.067990 -0.021217 0.065882
0.146501 0.041762 0.102436
0.137043 -0.027959 0.121376
0.018176 -0.004053 0.040508
0.134854 0.038569 0.065960
0.134716 -0.006666 0.085640
0.091139 -0.009034 0.139982
0.067717 0.043723 0.071510
0.074200 0.057916 0.035399
0.133264 -0.037552 0.110936
0.086056 -0.008911 0.143029
0.139483 -0.033336 0.128187
0.126872 -0.018598 0.124064
0.083701 0.056333 0.044676
0.043375 0.033596 0.081887
0.111962 -0.020320 0.049239
0.014769 0.010159 0.045539
0.126571 0.044521 0.095841
0.044690 0.015672 0.088975
0.124385 0.039827 0.106906
0.015723 0.030512 0.023120
0.134551 -0.005243 0.119043
0.085025 -0.007538 0.117637
0.149780 0.008155 0.074292
0.089547 -0.006161 0.140592
0.057247 0.050579 0.059345
0.113575 -0.014686 0.032596
0.037539 -0.024086 0.025393
0.128624 -0.018160 0.105549
0.133916 -0.030448 0.131557
0.080575 -0.017959 0.128186
0.073951 -0.024137 0.132541
0.134892 -0.023623 0.115277
0.136221 0.054423 0.082079
0.062122 0.059361 0.039274
0.015114 0.020970 0.041931
0.119914 0.032152 0.113397
0.129103 -0.032013 0.108761
0.122327 0.000054 0.021539
0.026378 -0.005019 0.068792
0.071799 0.044204 0.069470
0.124188 -0.005795 0.101904
0.056780 0.058422 0.045463
0.011186 -0.003127 0.017445
0.089090 -0.007251 0.131707
0.034849 0.011950 0.083397
0.055941 0.030958 0.087354
0.104049 0.044184 0.051900
0.116061 0.028069 0.112115
0.133281 -0.035564 0.114874
0.020737 -0.007106 0.027131
0.128388 0.045235 0.101926
0.058339 0.055555 0.016015
0.114427 -0.003175 0.090491
